# N2O/HTPB equilibrium combustion properties for the chamber.
# Generated by scripts/generate_thermochemistry_table.py -- do not edit by hand.
#
# Solver     : NASA CEA via rocketcea (Gordon & McBride, NASA RP-1311).
# Oxidizer   : oxid NitrousOxide  N 2.0 O 1.0  wt%=100.00 h,cal= 19467.0 t(k)=298.15
# Fuel       : fuel R-45(HTPB FROM_RPL_DATA) C 7.3165 H 10.3360 O 0.1063    wt%=100.00 h,cal= 1200.0 t(k)=298.15 rho=0.9220
# Assumption : equilibrium composition; chamber (stagnation) properties.
# O/F        : oxidizer mass flow / fuel mass flow.
# c*         : IDEAL equilibrium characteristic velocity. A combustion
#              efficiency is applied downstream and is NOT included here.
# gamma      : CEA chamber GAMMAs (isentropic exponent).
# molar mass : effective_molar_mass is CEA's M,(1/n), the total mixture mass
#              per mole of gas -- the quantity that reproduces CEA's own sound
#              speed when a condensed phase is present. gas_molar_mass is the
#              gas-phase MW, kept only as a diagnostic; their ratio flags soot.
# Units      : O/F [-], pressure [Pa], c* [m/s], gamma [-], T [K],
#              molar mass [kg/mol], R [J/(kg K)].
# NOT experimentally validated. Generic reduced-order educational study.
of,chamber_pressure_pa,ideal_cstar_m_s,gamma,chamber_temperature_k,effective_molar_mass_kg_mol,gas_molar_mass_kg_mol,specific_gas_constant_j_kg_k
1.3,2000000.0,1243.9259024340358,1.225206079976057,1648.6873921745173,0.020725241121887065,0.015031900808198127,401.1756760320362
1.3,2250000.0,1244.39788785873,1.224634303297477,1650.5831267022907,0.0207426289217452,0.015045637395735008,400.83938489029555
1.3,2500000.0,1244.84819598694,1.224085281596798,1652.430904707694,0.020759621938638687,0.015059073414551493,400.51127340256477
1.3,2750000.0,1245.2787129145856,1.223557263245859,1654.2333737928743,0.02077624115327969,0.015072224634061611,400.19089866443426
1.3,3000000.0,1245.6910735329757,1.2230487773721608,1655.992967959561,0.020792505602175968,0.015085105167683154,399.87785873819263
1.3,3250000.0,1246.086773156473,1.2225581962532555,1657.7118822837017,0.020808433688325377,0.01509772881341608,399.5717670314056
1.3,3500000.0,1246.466968425567,1.2220848471063286,1659.3922476454675,0.020824040297437077,0.015110106158724724,399.27230735446204
1.3,3750000.0,1246.832880128898,1.221627353515109,1661.0358512617763,0.020839340337341146,0.015122248852805704,398.979165530574
1.3,4000000.0,1247.1855263562547,1.22118469277546,1662.6444559018128,0.020854348012270135,0.015134167299408361,398.69204317046956
1.3,4250000.0,1247.5257981586801,1.2207559373498484,1664.2196686328089,0.02086907617293317,0.015145871097325968,398.41066988790396
1.3,4500000.0,1247.854513569111,1.2203402396009573,1665.7629815611647,0.020883536781939018,0.01515736919328842,398.13479415951736
1.325,1000000.0,1246.5328410690863,1.2285087762019569,1654.8557834119558,0.020659555791176107,0.01507770785318542,402.45118055980595
1.325,1250000.0,1247.0713405321476,1.227882942589154,1656.833248742834,0.02067745288107703,0.015092015452946628,402.1028443792988
1.325,1500000.0,1247.5818706035254,1.2272804594755895,1658.7557717455516,0.020694915062096222,0.015105989289802437,401.7635536580847
1.325,1750000.0,1248.0671060084958,1.22670155779257,1660.6275244414194,0.020711967966976382,0.015119647932224515,401.4327673380319
1.325,2000000.0,1248.5294378543479,1.2261446674558933,1662.4516596509147,0.020728635117019233,0.015133009346719635,401.1099896863646
1.325,2250000.0,1248.9708965052607,1.2256084487998589,1664.2309530103614,0.02074493663844145,0.015146088440167033,400.7947945520772
1.325,2500000.0,1249.3932464534776,1.2250919037422305,1665.9679783795054,0.020760891205001426,0.015158898855087475,400.48678719519495
1.325,2750000.0,1249.7980603684484,1.2245936295485385,1667.6649471682435,0.02077651623298159,0.015171453966957247,400.1856001633827
1.325,3000000.0,1250.1867141727016,1.224112462413916,1669.3239028431226,0.02079182754280876,0.015183765704445051,399.89089948351904
1.325,3250000.0,1250.5604403022433,1.223647308667089,1670.9467365098499,0.02080684014548859,0.015195845309974951,399.6023692142783
1.325,3500000.0,1250.9202769705082,1.2231971589625172,1672.5351739944695,0.020821567654747318,0.015207703075367939,399.3197225043861
1.325,3750000.0,1251.2672430266937,1.2227611509815712,1674.0907411497205,0.0208360213976242,0.01521934784643717,399.04271834487776
1.325,4000000.0,1251.602181336427,1.222338408425207,1675.6149488783794,0.020850213793193108,0.015230788880841497,398.7710965685346
1.325,4250000.0,1251.9259103949412,1.221928154151849,1677.1091657863994,0.020864155734888475,0.015242034452967184,398.5046279201598
1.325,4500000.0,1252.2391218190533,1.221529672875445,1678.574666586132,0.020877857399318307,0.015253092301982643,398.2430983684887
1.35,1000000.0,1251.2262157785256,1.229209924905174,1669.0108586809856,0.02066815175646689,0.015181447132201873,402.2837995370571
1.35,1250000.0,1251.722905484777,1.228633296650053,1670.8560950048984,0.02068483871966736,0.015194996737801711,401.9592673978416
1.35,1500000.0,1252.195579061425,1.2280757040067205,1672.6531485660619,0.02070114725086758,0.01520825100138818,401.6426006366166
1.35,1750000.0,1252.646416663844,1.2275372020869932,1674.4055031354164,0.020717099064505046,0.015221226130778294,401.33334267080414
1.35,2000000.0,1253.0773423813218,1.2270169866937792,1676.1159395252837,0.0207327138071923,0.015233937521467136,401.0310804133931
1.35,2250000.0,1253.4899722500866,1.22651467226842,1677.786936204799,0.020748007369479887,0.015246396234629167,400.73547642124385
1.35,2500000.0,1253.8857930234888,1.2260291248157684,1679.420572919086,0.020762995841388045,0.015258614996868921,400.446191942413
1.35,2750000.0,1254.2661003220005,1.225559410419588,1681.0187480861262,0.020777693503467858,0.015270604728832888,400.16292552454354
1.35,3000000.0,1254.6320451106667,1.2251046256031572,1682.5831864462514,0.020792113532250717,0.01528237552938649,399.885399101126
1.35,3250000.0,1254.9846543706194,1.224663913822703,1684.1154681818264,0.020806268135577174,0.0152939367724307,399.61335515920257
1.35,3500000.0,1255.324876067765,1.2242364292035524,1685.6170845940087,0.02082016952081863,0.015305297760193405,399.3465379658005
1.35,3750000.0,1255.6534442453121,1.2238214946434698,1687.0893489174987,0.02083382706404494,0.015316465654248804,399.08474772496874
1.35,4000000.0,1255.9711877935972,1.2234183911462293,1688.5334848899365,0.02084725059800345,0.015327448379436288,398.82777726077126
